"Sample","LibrarySize","Type"
"TCGA-56-7582-01A-11R-2045-07",43085226,"TP"
"TCGA-NK-A5CT-01A-31R-A26W-07",43084283,"TP"
"TCGA-56-A5DS-01A-11R-A27Q-07",42998944,"TP"
"TCGA-56-8304-01A-11R-2326-07",42937192,"TP"
"TCGA-NC-A5HL-01A-11R-A26W-07",42931349,"TP"
"TCGA-94-8035-01A-11R-2247-07",42877662,"TP"
"TCGA-96-A4JK-01A-11R-A24Z-07",42748513,"TP"
"TCGA-85-7950-01A-11R-2187-07",42697485,"TP"
"TCGA-56-8629-01A-11R-2403-07",42630788,"TP"
"TCGA-77-8130-01A-11R-2247-07",42268078,"TP"
